Estimator_Number,Estimator_Weight
1,5.34668875661302
2,1.6997321890552197
3,1.878827418861131
4,1.3844399365139624
5,0.6964953615253147
6,1.1588817357089152
7,0.6541148485781286
8,1.004713427881439
9,0.9144845027237057
10,0.6780355490591732
11,0.3973624909447476
12,0.6132273185438574
13,0.5018453602493421
14,0.5404731743022716
15,0.4338884012701676
16,0.4454678516669135
17,0.34805166965148526
18,0.45320588979861265
19,0.2899366716543465
20,0.15720541468377291
21,0.24834358011723712
22,0.3154909335707966
23,0.38193110452356455
24,0.1754789472254599
25,0.2872605144591775
26,0.3896358887844385
27,0.3050890028816562
28,0.41955751882574566
29,0.2907689049410006
30,0.3397107468000302
31,0.3751627370293035
32,0.32947176879088297
33,0.27985666875575105
34,0.40511132376347336
35,0.47159457248670816
36,0.2121479024721984
37,0.48272319072993697
38,0.19030347221159705
39,0.33248135864938844
40,0.21328366366635507
41,0.3224590848386008
42,0.25183867583820174
43,0.2109069176529005
44,0.33533064385403455
45,0.2529299247795474
46,0.2160231922956658
47,0.2608109536018675
48,0.24790820950334314
49,0.230903470526623
50,0.12728671251809462
51,0.09401275821592331
52,0.1139600630089748
53,0.10032023467520693
54,0.11520269898540497
55,0.1680480196613491
56,0.29343292638554225
57,0.17578520507105375
58,0.31926947696285146
59,0.4056069672798927
60,0.2302405067921927
61,0.34380139252385683
62,0.22054750155763722
63,0.17475655313133853
64,0.14953045701249748
65,0.1877231994509062
66,0.18635119310185533
67,0.172735547381484
68,0.3260881676861167
69,0.3934500389915663
70,0.26518825695656306
71,0.27707301429926123
72,0.09144121357041496
73,0.30498353898813196
74,0.1006700299515022
75,0.15223995150864092
76,0.21303396598646637
77,0.22879288338231737
78,0.10088557298022212
79,0.0915043318907905
80,0.13803278982228082
81,0.0825497444078001
82,0.24674209357790772
83,0.44721222392398874
84,0.17872782129744022
85,0.21517229166817486
86,0.17894799953348822
87,0.22646359110283845
88,0.22198689099995772
89,0.2722611259452606
90,0.29776229877055826
91,0.35227535529592147
92,0.3250622512076917
93,0.21139088292756744
94,0.15814400505255471
95,0.21238385773468865
96,0.14443777702955782
97,0.16698412388652914
98,0.4653919188639997
99,0.22701904165553308
100,0.46668658502172183
